"text";"label"
"""Ось це вміння говорити і не сказати нічого — справжній талант, короче. і баста.""";"5"
"""Ех, навколо стільки блядей, стільки блядей...""";"3"
"""яке генерують журнаглісти. тотальна, чорна і безпросвітна зрада. гівноїди.""";"3"
"""@Andriy7UA а ми живемо аж на м. Баттістіні. там одні чурки, індуси, азіати і УКУ)))""";"2"
"""о да, парафіяни піздєц конспіратори, і головне шоб ззаду як дружина була""";"2"
"""Чого ти, Ви такі тупі часом, піздєц.""";"1"
"""Срніг - то хуйово. Коли в тебе немає зимового взуття. І куртки. І ніхуя зимового, бля, немає.""";"0"
"""русняві деятєлі останнім часом говорять, що на Донбасі ВСУ стріляє самі в себе.""";"2"
"""Ось що добре - мені написали застереження не померти часом. А помирати - із якою ціллю? Втрачати символізми особистості?""";"0"
"""завтра вихідний,а значить можна спати не до 5:30, а до 8:00,а значить можна пізніше лягти,а значить...короче,мам,відкорковуй вино!""";"0"
"""Коли ти запитуєш поради, але не слухаєш відповіді. Твоя байдужість помітніша, ніж пустий куфар у вокзалі. аж смішно.""";"1"
"""Просто в всіх є стереотип, шо скандинави і япошки найбільше схильні до суїцидів, а тут виявляється пше-пше в топі""";"2"
"""випустила в дворі і втікла. а він біг за мною і нявчав. бляха тепер мені сумно дуже.""";"0"
"""Ти безуспішна курва. ти в курсі?""";"1"
"""Я, без перебільшення, так здивований, що 13™ виявився: • пиздлом • хуєсосом • бидлом • додайте своє Навіть не знаю, що ж сказати тепер. Знаю одне: зрадойоби, що в очі їбуться & поширюють те гівно не зупиняться і не підперхнуться. Оце і все. Я ЛЬОТЧИК! Я В ТАНКЕ ГАРЄЛ! (с)""";"1"
"""Якось мені сказали, що сприймати критику чи слова інших людей і щось міняти - це великий мінус. Бо так ти показуєш себе безхребетним чмом без своєї думки. ЛОЛШО? Чому зараз щодо кожної події у мене повинна бути якась позиція? Чому мені не може бути просто пофіг? Якого біса?""";"3"
"""Я б їм перманентний обід нахуй, за власний рахунок, без права *пожиттєво* займати керівні посади у держслужбі давно давно зробив би усім нахуй, через одного. Що вони є, що їх нема – однохуйствєнно.""";"4"
"""скажу за своїми спостереженнями, найкращу цю національну ідею засвоїли мігранти.. я бачив негритянські квартали і живих пісяючих на вулицях(""";"2"
"""а ще мені подарували блокнотик від фірми-колєги в честь їхнього ювілею. прямо красівенький день не дай бог якась тварь його зіпсує.""";"3"
"""Знала ж шо вихожу на зміну із сукою і от опа, блядь""";"1"
"""Оці самі ідіоти, котрі ""тре одружуватися й народжувати, в цьому і є сенс життя"", не зайобуйте. Гірше сектантів, що віру нав'язують.""";"3"
"""Сука ну що за народ такий.""";"3"
"""Це твердження позбавлене сенсу. Ніхто ніщо ніде і ніяк не може бути нижче русні. Русня як концепція абсолютного нуля, ідеального днища.""";"2"
"""Хочеться, щоб він посміхався і все налагодилося.""";"0"
"""Уйобіще, йди трахай диван""";"4"
"""Твої поради такі влучні, як слон у посудній лавці.""";"5"
"""Твої вилиці такі гострі, що могли б різати настрій.""";"5"
"""це занадто параноїдально. Риги хосуть влади, Сєня теж. Співпрацювати собі в мінус - тупо. Вони не ідіоти. ні слова більше.""";"3"
"""Любиш о 3й ночі засинати, люби й нахуй зранку ходити.""";"4"
"""бо ти чудова.""";"0"
"""Людина за мене переймається, а я як депресивнв сука поводжуся""";"0"
"""Йди в криївку, мазох, жидівську кнайпу, і в дім легенд зайди, але можеш тільки  в туалет""";"2"
"""Твій оптимізм — мов парасоля в пустелі: дивний, але смішний аксесуар.""";"5"
"""Припини пити на чергуванні і візьмися до справи, гопник у формі.""";"4"
"""Твоя кмітливість — як старий годинник без стрілок.""";"5"
"""Ти жалюгідний ідіот.""";"1"
"""в'яжи ше внутрішню однотонну вкладку. або фліску підший""";"0"
"""і то хіба проблема конвертувати для людини зі смартфоном? : )""";"0"
"""Мені тре на роботу, інакше піздєц.""";"0"
"""А чарівну з Днем Народження! Хай все вдається!""";"0"
"""Твої думки — як сплетені вежі з карт: красива конструкція, що руйнується сама. ну прямо геніально.""";"5"
"""да нічого такого не роблю, просто уроди жалобами закидають, то за фотку якусь, то за прізвище і баста.""";"3"
"""Табачнік - мразь, яка не лише ненавидить і заперечує все українське, а й хоче нав'язати свою українофобську точку зору нашим дітям! Вбила б. і баста.""";"1"
"""заїбало це одностороннє спілкування, люди, пішли на хуй, нє то нє, або нормально або не чіпайте мене""";"1"
"""Деяких людей мені соромно лайкати через їхні уїбанські юзернейми. Вибачте, крик душі.""";"3"
"""Гівно в людині.""";"1"
"""ти така порожня, що тебе можна здути легким вітерцем""";"1"
"""Порошенко насипав у Києві снігу, домовився з москалями за мороз і примусив мене одягти короткі шкарпетки. Доколє?! Інсайд.""";"2"
"""вата надто живуча. Ну, і багато перебирається (і перебралося свого часу) з рашки сюди. Серед негромадян русня злюща.""";"2"
"""Ваш альянс такий міцний, як скоринка на правилах міжнародного права. і баста.""";"5"
"""Телефон виправляв на ""запасні"", і я розгубилась, чи потрібен мені запасний бомж.""";"0"
"""@RT_russian одне інтерєсно: Чуркін х%й у бєлкі відєл?""";"2"
"""ну нічого не залежить від писку-виску на місцях у подібних ситуаціях.""";"0"
"""Не лізь зі своєю хуйнєю, поки не попросили""";"4"
"""Сьогоднішнім вечорком була в кращих традиціях інстаблогерів: дивні шмотки, навіжена від вітру зачіска і стаканчик кави з Маку. excellent)""";"0"
"""С.: ""Думка дня: хочу трансформуватись у диван і лежати на собі""";"0"
"""наша влада постійно забуває, що ми насамперед українці (а вже потім європейці), а вони насамперед мудаки (інших варіантів не передбачено)""";"1"
"""виспаласььььььььььь!! навіть не думала,що таке колись можливо!!""";"0"
"""Не ховайся за недоторканністю, мудак-народний слуга, відповідай за крадіжки""";"4"
"""Ще б пак, в піснях же часто забивають хуй на правила і в повсякденному спілкуванні тож, не думаю, що Саша вся така правильна, бо ми ж в укр/рос також не часто все по правилам пишем, але нахуя вобще вийобуватись, саш, думаєш сама умна тут чі шо""";"3"
"""нахуй такі разклади""";"0"
"""Думаю, вона і без твоєї дохуя експертної думки це зрозуміла, приправа ти""";"1"
"""скотина ти Малфі, аднако)0)0""";"1"
"""Штучний інтелект — чудовий інструмент, але з кожним апдейтом здається все більшим залізячним мудаком: пише код, нищить твій проєкт, обіцяє революцію в медицині й одночасно виконує роль шахрая, який за пару кліків перетворить твої дані на халтурний алгоритм.""";"5"
"""НАТО вирішило посприяти стабільності… відправивши меморандум із побажаннями. ой, ну да.""";"5"
"""І справді нема сенсц продовжувати розмову з людиною, яка не бачить різниці між вийобщиками і нормальними інженерами ось так от.""";"3"
"""Дуже знаково як свинорусня верещить називаючи ОБ'ЄДНАНУЮЧИЙ собор розколом.

Не розкол, але об'єднання. Відновлення історичної справедливості. Хто б що не казав, церква має величезний вплив на українців. Тож церква має бути українською, без жодних варіантів.""";"2"
"""Справжній профі у створенні купи сміття з повітря.""";"5"
"""@elf_ira хороша сокира в хазяйстві не завадить #ящєтаю. мо, якогось москалика перестрінеш... :) @gontsa""";"2"
"""Ой, тільки не плач, Вакансії на віддаленці — це пиздецький адреналін: сидиш у трусах під столом, вмикаєш Zoom в камуфляжі відсутності душі, а колеги сплять, кричать «ти тут?» й очікують відповіді, немов ти їхній персональний робопес; при цьому ти ненавидиш свій стілець, але любиш, що можна писати звіт зі сраки.""";"5"
"""просто блятьлол я такий розчарований був коли вони на Файному майже нічого народного не виконали, народ аж горів-чекав ось так от.""";"3"
"""Ви влаштовуєте цирк без клоунів, а все одно виходить суцільна хуїта. ну й ну.""";"5"
"""моїй печінці піздєц)) Тому типу на шлях виправлення стала. Але влітку пару разів можна)""";"0"
"""*сидимо на консультації з математики* - таня, це срака - повна - нічого не знаю - я теж *далі сидимо в телефонах* і баста.""";"3"
"""Буває ж, я не люблю цю кричалку, але все ж: путін хуйло, ла-ла-ла-ла-ла-ленд""";"1"
"""Хочу бути одною з тих баб яка любить свою роботу, займається благочинністю, має велику сім'ю і накачану сраку, подорожує з своїм мужиком...""";"0"
"""...та йому подібних. Убогі, проплачені ПР...""";"3"
"""тіки якісь дибільні групи вкантактікє, які роблять конкурси на найкращий фешн - блог і всяке таке""";"1"
"""• Сцявчєнко
• Міхо
• Тимошенко
• маладиє антикурвапціоньєри
• фани вище перерахованих
• обісцяна ватна русня
всі як один за достр. вибори.""";"2"
"""Вдень усвідомлюєш, що ти дурень, а вночі - що повний мудак. ти серйозно?""";"1"
"""Палити ворожі танки в серці їхньої армії і щоб запам'ятав!""";"4"
"""І да, всім було похуй.""";"0"
"""хуйоженька.""";"3"
"""І да я собі то переклав так,""";"0"
"""Андрі жмот такий вапщі Ніби падла , ніби ні 2 Плантації має Та ще й 3 вимагає   агонь просто""";"1"
"""@readerwriternow вибач неграмотного)""";"2"
"""Нахуя в тебе хуйовий настрій?""";"3"
"""Кандидати в дупу дати""";"4"
"""гівнюк в зеленому светрі, з вусами, барсєткою та жовтим шаликом напрімєр""";"1"
"""Бля, Фон Трієр каченяті ніжку не відрізає, але наші досі думають, що чим більше насильства, тим кручє.""";"3"
"""Пізда, нахуй було починати спілкуватись, шоб потім ігнорити""";"0"
"""Всі, блять, ниють через ті спойлери. Ідіть нахуй. Піздєц проблема.""";"4"
"""Їздила двічі за минулі два тижні.""";"0"
"""То був дуже добрий москальський шампунь. До війни.pic.twitter.com/OVZ1tcRsPg""";"2"
"""Я тоже так раз казав, потім послав Дельту нахєр, посварився з Ендрю і тому подібне.""";"1"
"""Ану, Шось так твіттер почав бісити шо пізда""";"3"
"""та хоч би на тому світі від тої хуйні відпочити""";"0"
"""Не для широкої публіки я твітер вела!""";"0"
"""Твої слова звучать, як стара платівка — заїло на одному місці.""";"5"
"""Або що піздане тебе. і не питай чому!""";"4"
"""Ота газета, що була рупором Гітлера & випускалась на гроші тогочасних олігархів – то була русня доречі. Ще одне трагічне співпадіння.""";"2"
"""ну йомайоо  Давай в анон чат  Типу""";"0"
"""Справді, Тобто якщо у тебе піздєц на роботі чи деінде, лишай його на роботі, а не будь унилим хуйлом, коли навколо тебе самі лиш приводи радіти.""";"3"
"""це ж яким мудаком треба бути, щоб, коли станеш нормальним, тобі не повірили' ухахахах""";"1"
"""@korytsya а вона лише москальська є?)""";"2"
"""Бумбокс - Самальотік #np  Як же я її люблю..""";"0"
"""Перестань хизуватися своїми підступними контрактами, поки світ не оголосив тобі бойкот""";"4"
"""Написала майже половину статті, а блядський кіт водьоргнув провод від компа і все видалилось до бісової матері""";"0"
"""Ото вже, І як пріятна шо ти помниш всьо хуйове в маєй жизні""";"3"
"""Платформи для бляхерів — не парковка""";"4"
"""так, от за такі заявочки нахуй посилають""";"3"
"""Цього разу взяла з собою в дорогу подушку, ковдрочку і термос, бо хз яка там сітюейшн на півночі.""";"0"
"""Ви сраколаз без мізків і совісті.""";"1"
"""щойно в тіндері був симпатичний кпішник рівно 200 см зросту, але єдине, що було в мене в голові, коли я бачила його ім'я, це: ""андрюха - хуй тобі в ухо"". юність на районі дається взнаки.""";"1"
"""«Ти дорого одягнута, намальована, машину маєш, що тобі з того пожару.» Йди ти нахуй""";"4"
"""Це просто сміх, 8)) Та зрозуміло що одного з ригами поля ягідка, але ж 2 місце це вам не абищо, знати фєню тут недостатньо, треба атлічиться..))""";"3"
"""повторюю: твіттер не був би твіттером, якби в ньому не було срачів)""";"0"
"""Зникни з наших вулиць, поки ми не почали битву за звільнення""";"4"
"""В мене зараз іде неймовірна боротьба. Одна частина мене каже вставай і заповнюй щоденник практики, а інша - включай кінцо, завтра заповниш. І поки вони триндякають, я лежу і задрочу в тел)""";"0"
"""Як там і офіційні папери можуть бути російською?""";"0"
"""Ви придурки на роботі""";"1"
"""у відро""";"0"
"""Дівчина з електрички, ніби зійшла із середньовічних картин.""";"0"
"""А до речі. Чому б дійсно не перейняти досвід країн Балтії та не ввести статус ""негромадянина"" в Україні?""";"2"
"""1) в ""Тлумаченні сновидінь"" Фройд розглядає здійснення пригнічених бажань, реванш безсвідомого -у виді снів""";"0"
"""А я до слова норм ставлюсь, а от до самих мєропріятій...""";"0"
"""Змусити ворога відчути силу українського духу""";"4"
"""Дякуємо, НАТО, за вашу «допомогу» — надсилайте ще попкорн для перегляду новин. і баста.""";"5"
"""@Esteto4ka там самі жиди. навряд)""";"2"
"""Коли херово то всюди і по максимуму""";"0"
"""Громадський транспорт Львова - то якийсь піздєц, особливо маршрутки, які мені потрібні. Чекаю 15 хвилин і безнадійно запізнилась на модуль.""";"0"
"""Хай то буде дуже суб'єктивно,і можливо не правильно, але люди,які отримують пенсію і в Україні і так званих днр-ах,лнр-ах,не люди, а гниди""";"2"
"""Неймовірно, Ви ведете дискусію, наче натискаєте на гальма під час фінішу.""";"5"
"""НАТО так любить діалог, що обговорює кожен крок тричі.""";"5"
"""Та мене просто бомбить з цього, ""меловінатори"" сукаааааа Шо він ідіот, шо його фан-тусовка""";"1"
"""Ото вже, о, едж, ти дно! як можна було жити з таким хуйовим мобільним інтернетом? до зручностей звикаєш швидко""";"3"
"""Захопити командні пункти ворога.""";"4"
"""Невже ти такий розумний, Твоя впевненість вершить гучні фокуси з порожнечею.""";"5"
""". друже тебе вітаю особисто. хоч і у вас там є хуєпльоти, але твоя заслуга очевидна!""";"3"
"""Бо лікарняні роблять в поліклініках і мутки""";"0"
"""#sexy\_monday У нас буде свій сексі мандей з мужиками й без шльондр.""";"0"
"""Як там сестра, може ще раз їй присунуть?""";"5"
"""Вигнати з України всіх агентів Кремля, треба зробити їхні мережі безкорисними. Треба щоб їхня шпигунська павутиння порожньою згнила.""";"4"
"""Ти виродок без краплини гідності.""";"1"
"""Проблеми: тобі пизда, дєржись Я: мені похуй, мочи""";"4"
"""Ваші війська так люблять культуру, що начищають бруківку трупами.""";"5"
"""Ми тут встали на вуха і перероблюємо всю верстку нинішнього ефіру, який за 2 години.""";"0"
"""Пiсля Масонiв пiшли в Жидiвськи кнайпу, тут цiн немає, треба торгуватися :)""";"2"
"""Найхуйовіші не ті, хто говорять, що ти їм не підходиш, чи що знайшли когось кращого за тебе. Нахуйовіші ті, хто переконують тебе, що ти для них щось означаєш, що ти для них важливіший за інших, а потім просто тихо тікають до когось з минулого. та ще й як.""";"3"
"""Припини хамити, перш ніж отримати відповідь""";"4"
"""Якось мене сьогодні всі виносять і харять""";"0"
"""Невже ти такий розумний, Твої коментарі – втілення стратегічного марнотратства слів.""";"5"
"""нє. Просто чорну. Мій любімий цвєт))""";"0"
"""Фейсбук банить зараз за слово ""москалі"", походу знову скріпти запустили, бо дивлюсь Березу і ще парочку теж грохнули""";"2"
"""«Вони планують привласнити нашу землю через глобальну змову»""";"2"
"""Ото наплануєш собі шось, і що? Правильно, ніхуя тобі не вийде, бо всесвіт хоче пад'єбать""";"0"
"""Галя берега не баче, піздєц""";"3"
"""Сьогодні один тато показував мені фото зі свого відрядження, де він з папуасами. Вони тримали укр прапор і надпис путін хуйло. та ну тебе.""";"1"
"""Неймовірно, як ти вмієш читати маршрут по відчуттю й об’їжджати покажчики боком. ну прямо геніально.""";"5"
"""На сході гупнуло й зайнялося серйозне зарєво. Горять пекельним полум'ям русняві п'яті точки.https://twitter.com/LIGAnet/status/776172458961428480 …""";"2"
"""По святкуванню"" в парку Політеху – абсолютно точно треба знайти і відрахувати нахуй, якщо то студенти ВУЗу.""";"4"
"""Більшості і так поїбать на те чи пишеш ти чи ні аж смішно.""";"3"
"""Я теж люблю містику і терпіти ненавиджу Сутінки.""";"0"
"""Доброго вечора, а не пішли б ви на хуй, будь ласка?""";"4"
"""Це ж треба, що рухає людьми, яким слух ріже ""много гласных подряд"" чи ""русизм"" чи ще якась хуйня? при цьому вони російськомовні, але оминути не можуть ""знущання над співучою солов'їною"" чи ще щось таке кріпацьке. у них мама вчителька і пиздила їх портретом сосюри за кожне ""шо"" замість ""що""?""";"3"
"""Захопити полонених і обміняти їх на наших полонених""";"4"
"""Твоя присутність у розмові — як ревіння кози в оперному театрі. і баста.""";"5"
"""Знайомі фанати (хохли) переконані, що #харків'ський #Металіст належить #Янукович'у-молодшому. Це правда? #чутки #футбол #fcmk #Україна""";"2"
"""Оце так, Курва, нічого не встигаю, поділіться вільним часом""";"3"
"""Стоїмо дивимось одне одному в очі — ворони це вміють.""";"0"
"""Перелізу за комп, кину, забула, якийсь канадський хуй робив""";"2"
"""Закрий свою смердючу пельку і замовкни і швидко!""";"4"
"""Тьотки-мозґодротки (с)""";"2"
"""«Циганка ніколи не працювала і не працюватиме»""";"2"
"""просто потрібно видихнути. але замість того , щоб просто відпустити цю ситуацію хочеться плакати, так обідно, піздєц просто.""";"0"
"""Перманентне бажання зустріти когось,говорити своєю хєровою нідерландською і виїбнутися цим.""";"3"
"""Хуй платить податки. Отримує субсидію на комунальні. Оце блядь гниди. Субоімовані гниди. Воші їбані, котрим все життя хтось щось винен. І держава винна і сусід. Оце ось воно.""";"1"
