"text";"label";"source"
"Ти — живий доказ, що нічого не робити можна професійно.";"5";""
"Твої жарти такі свіжі, як минулорічне сміття.";"5";""
"Ніколи б не подумав, що мовчати можна так голосно.";"5";""
"Твої висновки — як старі черевики: натирають усіх навколо.";"5";""
"Ти віртуоз руйнації будь-якої раціональної розмови.";"5";""
"Твої повідомлення — спроба заповнити порожнечу смислом.";"5";""
"Ти б міг встановити світовий рекорд із марнотратства слів.";"5";""
"Твоє бажання бути почутим залишає більше питань, ніж відповідей.";"5";""
"Це геніально — говорити багато й не сказати нічого.";"5";""
"Твоя впевненість вершить гучні фокуси з порожнечею.";"5";""
"Твої коментарі — наче дзеркало: в ньому видно тільки порожнечу.";"5";""
"Ніколи не думав, що можна стільки промовчати в словах.";"5";""
"Твій ентузіазм розсіюється, як дим без вогню.";"5";""
"Твої думки такі насичені… порожнечею.";"5";""
"Твоя участь додає яскравих барв у палітру хаосу.";"5";""
"Твої аргументи танцюють під музику власної нелогічності.";"5";""
"Дякую за ще одну порцію безрезультатної активності.";"5";""
"Твій внесок у розмову — ніби шум на пустельній дорозі.";"5";""
"Це вміння бути таким марним — справжній дар.";"5";""
"Твоє мислення схоже на лабіринт без виходу.";"5";""
"Ти так майстерно ускладнюєш просте, що це стає мистецтвом.";"5";""
"Твої слова мають вагу… як повітряний корабель.";"5";""
"Чудово, як ти перетворюєш кожен діалог на постановку абсурду.";"5";""
"Твій розум працює в режимі енергозбереження… без енергії.";"5";""
"Ого, яка яскрава думка! Шкода, що в голові порожньо.";"5";""
"Твій внесок у розмову – як пуста пляшка в океані: нікому не потрібний.";"5";""
"Вражаєш здатністю бути в центрі уваги навіть без змісту.";"5";""
"Твоя сміливість залишатися поза логікою – безцінна.";"5";""
"Ніхто так не вміє марнувати час, як ти.";"5";""
"Твої слова такі глибокі… наче сухий колодязь.";"5";""
"Це геніально – говорити багато і нічого не сказати.";"5";""
"Твій ентузіазм у безглуздості заслуговує окремої медалі.";"5";""
"Твій мозок – наче сейф без коду: закритий і марний.";"5";""
"Твої думки мають вагу… як соломинка в урагані.";"5";""
"Ти - справжній архітектор хаосу без жодного плану.";"5";""
"Твоє вміння бути даремним – справжній талант.";"5";""
"Це просто шедевр – перетворювати прості речі на дурню.";"5";""
"Твої аргументи – як мильні бульбашки: красиві, але без сенсу.";"5";""
"Ніхто не робить помилок із таким мистецтвом, як ти.";"5";""
"Твоя логіка – наче дірявий парашут: ніколи не спрацює.";"5";""
"Твоє вміння проникати в суть – як риба літати.";"5";""
"Круто, як ти вмієш бути гучним без жодного змісту.";"5";""
"Твоя поява в чаті – як повінь у пустелі: марна й безрезультатна.";"5";""
"Твої поради – як вода в решеті: марно намагатися втримати.";"5";""
"Твої думки блищать… як скло в пилюці.";"5";""
"Вражаєш майстерністю перетворювати діалог на паузу.";"5";""
"Твоя кмітливість – як лампочка без дротів.";"5";""
"Ніколи не бачив стільки слів без єдиної ідеї.";"5";""
"Твої мрії такі реальні, як єдиноріг у полі.";"5";""
"Твої висновки – як зіпсовані годинники: ніколи не показують правильного часу.";"5";""
"Твої жести так само переконливі, як порожній гаманець.";"5";""
"Твоє бажання бути почутим – як свист у порожній кімнаті.";"5";""
"Оце так перспективи: стояти на місці й кричати про швидкість.";"5";""
"Твої аргументи танцюють на краю абсурду.";"5";""
"Твій розум – як стара пральна машина: грюкає без результату.";"5";""
"Твої поради – як морозиво в спекотний день: швидко тануть.";"5";""
"Твоя компетентність вражає… у своїй відсутності.";"5";""
"Твої слова – як дим без вогню.";"5";""
"Ніхто так не майстерно здуває розмову, як ти.";"5";""
"Твої думки такі міцні… як паперова нічия.";"5";""
"Твій сарказм – як гострий ніж з пластиковою рукояткою.";"5";""
"Твої ідеї – як корабель без вітрил.";"5";""
"Твоя присутність – як світло свічки у вітряну ніч.";"5";""
"Твоє вміння грати велику людину – бездоганне.";"5";""
"Твої помилки – як нагадування про людське.";"5";""
"Твоя логіка – як комп’ютер з порожнім жорстким диском.";"5";""
"Твоя кмітливість в стані сну – але сон без сновидінь.";"5";""
"Твої аргументи – як зимовий дощ: дискомфортні й зайві.";"5";""
"Вражаєш здатністю створювати шум без будь-якого змісту.";"5";""
"Твої жарти – як стара касета: шурхотять і дратують.";"5";""
"Твій ентузіазм – як ліхтар без лампочки.";"5";""
"Твої думки – як старий чемодан: важкі й пусті.";"5";""
"Круто, як ти перетворюєш будь-яку тему на імпровізацію хаосу.";"5";""
"Твої ідеї такі революційні… у світі без розуму.";"5";""
"Твоє прагнення до точності вражає — щоб сказати зовсім нічого.";"5";""
"Ніхто не вміє губити час так елегантно, як ти.";"5";""
"Твої поради — як сонце у дощову ніч: даремні.";"5";""
"Ти виглядаєш впевнено… як риба на дереві.";"5";""
"Твої аргументи такі гострі, як пластиковий ніж.";"5";""
"Вражаєш майстерністю вдихати без повітря.";"5";""
"Твоя логіка працює зі швидкістю сипучого піску.";"5";""
"Ти створюєш феномен тиші у власних словах.";"5";""
"Твоє бажання бути експертом — як маяк без світла.";"5";""
"Твій сарказм нагадує порожній бумеранг.";"5";""
"Твої жарти зникають, як відлуння в пустелі.";"5";""
"Ти — чемпіон з вигадування проблем із повітря.";"5";""
"Твої думки такі чисті… від смислу.";"5";""
"Твої словесні феєрверки — просто димовуха.";"5";""
"Твоя рішучість зробити дурість — непохитна.";"5";""
"Твої коментарі — як картинка без сенсу.";"5";""
"Ти говорить стільки, що можна загубитися в пустоті.";"5";""
"Твоя присутність — як тінь без обличчя.";"5";""
"Твої пояснення такі переконливі, як залишки зіпсованого хліба.";"5";""
"Твій гумор — як порожня пляшка: тільки стукає.";"5";""
"Твоє майбутнє виглядає… як безглузде повторення сьогоднішнього.";"5";""
"Твій оптимізм — на межі карикатури.";"5";""
"Твої висловлювання блищать… наче залізо,що іржавіє.";"5";""
"Твоя увага до деталей — у масштабі піщинки.";"5";""
"Твої помилки — справжній витвір мистецтва.";"5";""
"Ти встигаєш робити хаос із власних слів.";"5";""
"Твоя кмітливість зникає швидше, ніж твоя мотивація.";"5";""
"Ти — заслужений майстер наповнювати тишу порожніми словами.";"5";""
"Твої ідеї з’являються й зникають, як примари.";"5";""
"Твої аргументи — як льодяник: солодкі, але порожні.";"5";""
"Твої відповіді такі глибокі… як тіньомір.";"5";""
"Ти генеруєш більше шуму, ніж вигоди.";"5";""
"Твоя експертиза — як діра без дна.";"5";""
"Твої поради — як повітря в капкані.";"5";""
"Твій ентузіазм — мов запалена свічка без вогню.";"5";""
"Твої слова — як відбиток на воді.";"5";""
"Ти — король створювати проблеми з нічого.";"5";""
"Твоя риторика танцює навколо змісту, але ніколи не чіпляється.";"5";""
"Твої жарти такі гуманні… як пустушка.";"5";""
"Твоя присутність — як шум автосигналізації серед ночі.";"5";""
"Твої аргументи такі солодкі, наче гірка пігулка.";"5";""
"Твоє мислення — як розмальовка без фарб.";"5";""
"Твої висновки — як слід вітру.";"5";""
"Твоя логіка ламається на першому повороті.";"5";""
"Твої слова — як мотузка без вузлів.";"5";""
"Твоє обговорення — як карнавал ідей без веселощів.";"5";""
"Твій стиль комунікації — як буквар без літер.";"5";""
"Твоя перспективність — як автомобіль без коліс.";"5";""
"Твої думки — як зіпсований об’єктив: все розмите.";"5";""
"Твоє вміння плутати просте зі складним — справжній талант.";"5";""
"Твоя логіка така міцна, ніби зроблена з ватману.";"5";""
"Ніхто не зіпсує момент так елегантно, як ти.";"5";""
"Твої аргументи звучать як ехо в порожній кімнаті.";"5";""
"Твоя кмітливість така ж, як у сліпого компаса.";"5";""
"Твоя експертність унікальна — зводиться до абсолютної відсутності.";"5";""
"Твої слова світять яскравіше за нульову кількість люменів.";"5";""
"Ти володар тонкого мистецтва даремної балаканини.";"5";""
"Твоє мислення — як GPS без супутників.";"5";""
"Твій сарказм блищить… як алюмінієва фольга вночі.";"5";""
"Твої ідеї настільки свіжі, що ще не народилися.";"5";""
"Твій розум працює в режимі offline.";"5";""
"Ніколи не бачив такого вражаючого прикладу марноти.";"5";""
"Твої поради такі влучні, як слон у посудній лавці.";"5";""
"Твоя присутність завжди викликає ефект білого шуму.";"5";""
"Твоя впевненість у своїй геніальності — справжній атракціон.";"5";""
"Твій внесок у дискусію — як крапля в безодню.";"5";""
"Твої вислови такі прозорі, що крізь них видно порожнечу.";"5";""
"Ти майстер створювати проблеми навіть там, де їх нема.";"5";""
"Твоя логіка танцює на краю провалу.";"5";""
"Твої жарти — це мініатюрні викиди абсурду.";"5";""
"Твоя риторика така ж ефективна, як дихання під водою.";"5";""
"Твій ентузіазм ночами сниться навіть порожнечі.";"5";""
"Твоя сміливість переконувати без фактів — це щось.";"5";""
"Твій сарказм нагадує плоску гумку без енергії.";"5";""
"Твої слова — як пакунок без вмісту.";"5";""
"Твоя майстерність у знищенні сенсу вражає.";"5";""
"Твоя кмітливість вміє розчинятися в повітрі.";"5";""
"Твої аргументи такі ж міцні, як нитка вітру.";"5";""
"Твоє відчуття реальності — як малюнок у піску.";"5";""
"Ти створюєш атмосферу хаосу з чистої води.";"5";""
"Твої думки блищать порожнечею, мов скло без змісту.";"5";""
"Твоя рішучість говорити без підстав — на рівні чемпіонів.";"5";""
"Твої коментарі звучать як шум пилососа в пустелі.";"5";""
"Твоє бажання бути важливим виглядає трагічно.";"5";""
"Твої поради — це майстер-клас марнування часу.";"5";""
"Твої аргументи такі ж влучні, як камінь у воді.";"5";""
"Ти перетворюєш прості питання на лабіринт без виходу.";"5";""
"Твоє мислення — це ідеальний приклад холостого пострілу.";"5";""
"Твої слова — як лист без конверта: нікому не дійдуть.";"5";""
"Твоя експертність — це коли немає нічого.";"5";""
"Твої жарти нагадують репетицію порожнечі.";"5";""
"Твої думки так само корисні, як соломинка на вітрі.";"5";""
"Твоя логіка — це безкінечний круг помилок.";"5";""
"Твоє прагнення виглядати розумним лише підкреслює протилежне.";"5";""
"Твої висловлювання — це симфонія пустих звуків.";"5";""
"Твоє вміння бути марним — справжній рекорд.";"5";""
"Твої аргументи зникають швидше за крейду під дощем.";"5";""
"Твоя логіка блищить… як слон у порцеляновій крамниці.";"5";""
"Твої слова — мов ехо в глибокій ямі: чути, але марно.";"5";""
"Твій розум працює так, ніби батарейки сідають.";"5";""
"Твої поради — як парасолька у пустелі: ні до чого.";"5";""
"Твоє вміння критикувати без основання — на рівні чемпіонів.";"5";""
"Твоя присутність додає дисонансу в симфонію розуму.";"5";""
"Твої жарти — це майстер-клас внутрішнього болю.";"5";""
"Твоя експертиза зводиться до аплодисментів порожнечі.";"5";""
"Твої думки такі рідкі, що їх можна пити ложками.";"5";""
"Твоя кмітливість — як старий годинник без стрілок.";"5";""
"Твоя риторика — мов будильник у вихідний: ніколи вчасно.";"5";""
"Твої висловлювання — як повітряний замок на піску.";"5";""
"Твоя впевненість у власній геніальності — справжній фейєрверк абсурду.";"5";""
"Твоє прагнення здатися важливим — як кіт у басейні: абсолютно недоречне.";"5";""
"Твої слова — мов мотузка без мотка: розпускаються в порожнечі.";"5";""
"Твій сарказм такий глибокий, що сам тоне в ньому.";"5";""
"Твої ідеї мають термін придатності — одиниці секунди.";"5";""
"Твої аргументи такі ж легкі, як повітряна кулька без повітря.";"5";""
"Твоє мислення — мов загублений лабіринт без мапи.";"5";""
"О, який ти розумник, приїхав на своєму хую не в ту частину мозку.";"5";""
"Твої ідеї такі ж корисні, як пиздець у світлій кімнаті.";"5";""
"Блін, ти вмієш гнути свою суку логіку так, ніби вона з картону.";"5";""
"Твоя присутність тут — як срака в лайні: абсолютно ні до чого.";"5";""
"Та ти сука геніальний у своїй тупості.";"5";""
"Нахуй тобі розум, якщо він працює на півбатарейки.";"5";""
"Твоя балаканина — справжній пиздець для здорового глузду.";"5";""
"Ти мовчиш так голосно, що аж блін моторошно.";"5";""
"Твій сарказм — як хуєта без будь-якого сенсу.";"5";""
"Твої аргументи звучать, ніби їх писала корова.";"5";""
"Блядь, ти вмієш перетворити просту тему на повний пиздець.";"5";""
"Твоя логіка — це такий же палець у дупі, як і всі твої думки.";"5";""
"Та ти сука майстер створювати хаос у своїй хуйовій голові.";"5";""
"Твої жарти такі ж смішні, як хуй у зимовій шкарпетці.";"5";""
"Нахуй тобі язик, якщо ти говориш лиш хуйню.";"5";""
"Твоя кмітливість вмикається лише коли треба зіпсувати настрій.";"5";""
"Ти типу експерт, а на ділі — один великий пиздець.";"5";""
"Блядь, як можна бути таким хуєвим у всьому?";"5";""
"Твої поради — як срака в пустелі: ні жарко, ні холодно.";"5";""
"Ти вмієш так нахуй зіпсувати атмосферу, що всі хочуть втекти.";"5";""
"Твій розум працює на рівні порожньої пивної пляшки.";"5";""
"Та ти справжня сука без мозку й логіки.";"5";""
"Твоя бездіяльність кричить гучніше за будь-який шум.";"5";""
"Нахуй ти тут потрібен, якщо тільки пиздиш порожніми словами?";"5";""
"Твої слова — мов стусани по факту: боляче й даремно.";"5";""
"Блядь, ти вмієш так нахуй заїбати одним реченням.";"5";""
"Та ти така хуєва балачка, що навіть тиша здається раєм.";"5";""
"Твій сарказм — ніщо інше, як хуйня в красивій обгортці.";"5";""
"Твої аргументи падають, як сука мокрі листя.";"5";""
"Нахуй тобі факти, коли у тебе є тільки соплі й слина?";"5";""
"Твій гумор такий же гострий, як тупий ніж.";"5";""
"Блядь, ти вмієш марнувати час з віртуозною майстерністю.";"5";""
"Твоя присутність — як срака на весіллі: нікому не потрібна.";"5";""
"Та ти сука крадій сенсу з будь-якого діалогу.";"5";""
"Твоє мислення схоже на пиздець без початку й кінця.";"5";""
"Нахуй тобі статус, якщо ти лише велика хуєта?";"5";""
"Твої коментарі — як пиздюк на круассані: не по темі й огидно.";"5";""
"Блядь, ти вмієш зіпсувати навіть воду своїм даремним болтанням.";"5";""
"Твої ідеї такі ж безглузді, як хуй у чаї.";"5";""
"Та ти сука геній в створенні абсурду.";"5";""
"Твої слова — як хуясець у спину: боляче й несподівано.";"5";""
"Нахуй тобі увага, якщо ти нічого, крім хуйні, не несеш?";"5";""
"Твій ентузіазм у безглуздості просто вражає.";"5";""
"Блядь, твої жарти такі ж вдалині, як правда в політиці.";"5";""
"Твоя логіка — це пиздецьовий цирк без клоунів.";"5";""
"Та ти хуєвий снайпер — влучність на рівні випадковості.";"5";""
"Твої поради — мов пиздець у мороз: всі мерзнуть й стогнуть.";"5";""
"Нахуй тобі бути тут, якщо твоєю єдиною метою є зіпсувати всім настрій.";"5";""
"Твоя кмітливість — як пиздецьова вітряна млинок без крил.";"5";""
"Блядь, ти вмієш робити шум з ничого.";"5";""
"Твої аргументи такі ж легкі, як хуй у ураган.";"5";""
"О, ну ти ж типу геній, але явно якось трохи без мізків.";"5";""
"Та взагалі твоя логіка, знаєш, така собі, ніби картонна.";"5";""
"Ось це так, короче, подарунок — твоя балаканина просто феєрична дурня.";"5";""
"Ну серйозно, ти там реально думаєш, що твої слова мають сенс?";"5";""
"Такий собі експерт, типу, але жодної путньої думки.";"5";""
"От чесно, твої аргументи — це, як би, просто повний пиздець.";"5";""
"Мабуть, твій мозок там, короче, на вихідних.";"5";""
"Ну знаєш, твоя присутність нагадує суку в лайні — абсолютно ні до чого.";"5";""
"Та реально, твій сарказм — це просто хуєта в красивій обгортці.";"5";""
"Оце так, типу, ти вмієш звести розмову до повного пиздецю.";"5";""
"Ну взагалі твої ідеї — це така ж порожнеча, як і твоя голова.";"5";""
"Ось цей твій ентузіазм — реально вражає, але в позитив я б не сказав.";"5";""
"Короче, ти, мабуть, справжній майстер марнування часу.";"5";""
"Та отак ось ти розповідаєш дурню, ніби то щось серйозне.";"5";""
"Ну типу, твої поради — як пиздець у мороз: всім холодно й неприємно.";"5";""
"Знаєш, твоя кмітливість, мабуть, загубилася десь між твоїми ж словами.";"5";""
"От чесно, твій гумор — це просто хуєвий шум без сенсу.";"5";""
"Та реально твої аргументи танцюють, як хуйня в урагані.";"5";""
"Ну серйозно, типу, ти вмієш так нахуй зіпсувати атмосферу.";"5";""
"Ось це вміння говорити і не сказати нічого — справжній талант, короче.";"5";""
"Мабуть, твоя логіка сидить, як би, у відпустці назавжди.";"5";""
"Та от, знаєш, ти вмієш бути королем пустослів’я.";"5";""
"Ну типу, твої жарти нагадують хуйню в красивій обгортці.";"5";""
"Ось так от ти щось розповідаєш, ніби це щось важливе.";"5";""
"Короче, прийшов ти сюди — і все заглохло, як пустка.";"5";""
"Та реально, в твоїх словах — ага, порожнеча і пиздець.";"5";""
"Ну знаєш, ти б міг стати символом нікчемності, типу.";"5";""
"От чесно, твоя балаканина нагадує хуєву пісню без мелодії.";"5";""
"Мабуть, ти дійсно вірив, що твої слова комусь потрібні.";"5";""
"Та взагалі ти — король створювати хаос зі своїх хуйнь.";"5";""
"Ну типу, твій сарказм безглуздий, як дірка без жодної логіки.";"5";""
"Ось реально, ти вмієш так заткнути рота розумній думці.";"5";""
"Короче, ти зумів досягти вершини пустослів’я, типу.";"5";""
"Та знаєш, твої поради — це просто красиве, але марне лайно.";"5";""
"Ну от, твій розум, мабуть, вирішив взяти відпустку на завжди.";"5";""
"Мабуть, ти просто геній, але в галузі повного пиздецю.";"5";""
"Та реально, твоя присутність тут — сука зайва.";"5";""
"Ось так от ти знову видаєш свою хуйню, як би.";"5";""
"Ну типу, твій внесок у розмову — це просто пиздецьовий цирк.";"5";""
"Короче, ти майстер вигадувати проблеми зі своїх слів.";"5";""
"Та взагалі твої аргументи такі ж порожні, як твоя голова.";"5";""
"Мабуть, твоя кмітливість так і не встигла народитися.";"5";""
"Ну знаєш, твій гумор — це просто хуєта у вигляді феєрверку.";"5";""
"Ось реально, ти міг би стати прикладом для марнотратства слів.";"5";""
"Короче, ти вмієш нахуй заглушити будь-яку розумну дискусію.";"5";""
"Та отак, типу, ти говориш багато й не сказуєш нічого.";"5";""
"Ну чесно, твоя логіка — це пиздецьова маячня.";"5";""
"Мабуть, твій мозок чув про думки, але не вважає за потрібне працювати.";"5";""
"Та реально, ти перетворюєш просте питання на суцільний пиздець.";"5";""
"От чесно, твоя балаканина страшніша за будь-який кошмар.";"5";""
"О, знову ти тут, як сезон лінивих котів — багато лежиш і нічого не робиш.";"5";""
"Твоя логіка працює, як старий телефон із гальмом: щось там дзвенить, але ніхто не відповідає.";"5";""
"Ти вмієш бути центром уваги, як комар на пікніку — нав’язливо і свербить.";"5";""
"Твій ентузіазм нагадує м’ячик, що відскочив від стіни — багато руху, жодного результату.";"5";""
"Твої ідеї такі ж свіжі, як морозиво наприкінці літа.";"5";""
"Твоя аргументація блищить… як пиріжок без начинки.";"5";""
"Твій сарказм — мов гострий соус: пекучий, але лиш підриває шлунок пустими словами.";"5";""
"Твоє вміння говорити без змісту нагадує цирк без клоунів — безглуздо й сумно.";"5";""
"Твої слова звучать, як стара платівка — заїло на одному місці.";"5";""
"Твій гумор такий глибокий, як калюжа після дощу.";"5";""
"Твої поради – мов парасоля в спекотний день: абсолютно зайві.";"5";""
"Твоя присутність — як музика на лобі: незрозуміло й трохи боляче.";"5";""
"Твої ідеї світять, як лампочка на 1 Ватт.";"5";""
"Твоя логіка виблискує, неначе дзеркальце в піску.";"5";""
"Твої жарти — як бульбашки шампанського: миттєві і без газу.";"5";""
"Твоє мислення — мов комп’ютер із нульовим об’ємом оперативки.";"5";""
"Твій сарказм – мов кава без кофеїну: тяжко пити, сенсу нуль.";"5";""
"Твоя балаканина – як марафон українських жартів без кульмінації.";"5";""
"Твої аргументи такі ж міцні, як пудра з ватних дисків.";"5";""
"Твоя кмітливість нагадує носорога в крамниці кришталю.";"5";""
"Твоя експертиза — мов безкоштовний тур у пустелю: багато пилу, нічого цікавого.";"5";""
"Твоя присутність працює, як гальмо на роликах — заліплює рух всьому навколо.";"5";""
"Твої слова парять, як мильні бульбашки: красиво і без сенсу.";"5";""
"Твій оптимізм — мов парасоля в пустелі: дивний, але смішний аксесуар.";"5";""
"Твоя логіка — як GPS без супутників: заведе будь-куди, тільки не туди.";"5";""
"Твої жарти летять, як увімкнена тека без гучності.";"5";""
"Твоя балаканина — мов конфетті в дощ: барвисто й марно.";"5";""
"Твоя аргументація така ж гостра, як торт без вершків.";"5";""
"Твої думки рухаються, як равлик в марафоні.";"5";""
"Твій сарказм — мов парадокс у келиху: загадково й трохи підозріло.";"5";""
"Твої поради — мов мотузка з макаронів: розсипається при першій спробі.";"5";""
"Твої слова звучать, як музика на телефоні без навушників.";"5";""
"Твій гумор — мов відкритий холодильник в спеку: спочатку освіжає, потім шкварить.";"5";""
"Твоя логіка нагадує інструкцію без картинок.";"5";""
"Твої жарти круті, як морозиво в дощовий день.";"5";""
"Твой внедрений сарказм — мов Wi-Fi у горах: обіцяє, але не дає сигналу.";"5";""
