clean_text,label
"дитина має адаптуватись, що це нормально, плакати в перші дні, мами не слухають.",0
"читає, ну і що:)",0
"Ну от сніг вже знов випав,а у мене досі ні хлопця ні кота.",0
щира і правда)),0
"Це був день сміливості, радості і використання тіндера за прямим призначенням.",0
"Подейкують, що історію в інстаграмі придумали, аби допомагати бідолахам, які не мають вікон",0
"По-моєму, ні =)",0
треба взяти назву на озброєння;),0
загальний,0
в мене не раз знаходились гривні у випраних речах які потім без проблем приймали.,0
"шо в цьому житті мені добре вдається, так це крутити обруч і дивитися серіал секс і місто",0
Запхав в рот 5 м'ятних цукерок і відчуваю як мій мозок помалу дихає м'ятною свіжістю;D,0
"після сьогоднішніх книг і фільмів мені снитимуться орки, вампіри, темні символи й зайчики :D",0
"Я і не кажу, шо не нормальні) у нас завжди так",0
"О! Вже й циганє в трамваях ""смереку"" затягують, а не колядки. Весна близько чи що.",0
ти мене розумієш),0
а дівчата?,0
"а що намічається, даруйте?",0
"та у нас є такі, що на жодній його парі не були, так що списувати, то ще півбіди))",0
"магістратуру, та",0
"Нема члена, котрим рот був би зайнятий, займаю алкоголем.",0
-Кому ти віриш твітерру Порошенка чи заявам Путіна? - Порошенку! Він наш президент! По-ро-шен-ко :D,0
"Бллллааа минув би цей дощ до вівторка, з таким дощем 70% що моя вєчєріна у вівторок в форсі наламається",0
"Сьогодні Кабуладзе з Єрмоленком допомогли мені усвідомити чому в мене така нелюбов до російської класики. Зізнаюсь чесно - читала тільки Достоєвського «Злочин і покарання», де ні покарання, ні каяття. Люди як засоби досягнення цілі.",0
"Мене сьогодні годували смачнющим грушевим пирогом,спеченим людиною,яка варить найсмачнішу каву в місті ^^",0
а фігушки їм)),3
багато),0
"ой... написала думку, яка в голову прийшла... Катерина її озвучувала раніше?",0
от і всі твої аогументи,3
"Ти не знаєш, як я на цьому зацькована. Як мене може вбити сором, навіть через урчання живота.",0
він тіпікал секс турист.. поливав брудом одну панянку нашу яка його послала.,1
нарешті почала нормально проводити канікули - почала новий серіал,0
засинати під мурчання кота прекрасно!,0
"я не змогла читати, але добре що комусь подобається",0
"на щастя, я жирний кабєльчік:)",0
я і не думав)) Просто констатую факт свинства )),3
"ну хоч шафу перестав чи диван, яка не яка, а зміна",0
"ще тільки 38сторінка, але мені поки заходить. дам)",0
"На роботі цілими днями за компом, так якого, питається, приходити додому і далі сідати за комп",3
Атлічний дощ!,0
вона викликає негідні інстинкти,0
оу... Знайомий який пейзаж...),0
а в мене тепер є гірлянда,0
де є красіві пальтішка ?,0
"ти не знаєш про Mötley Crüe вони були популярні, ще коли я пішки під стіл ходив, але після них мене ніхто не здивує своїм виглядом",0
"Якщо я захворію та здохну, то принаймні це буде хвороба, привезена з Естонії, а не з Шостки.",0
"Холодно до холєри, справді. Мінус 11 надворі, плюс 16 в хаті. Бля, мама, перестань опалення скручувати. Ще й протяг по ногах, ffffffuuuuu!",4
"Тільки тут у мене накачана дитина 23р, зростом 190см",0
"Скучно, але стабільно. А я щось вже не хочу, щоб мені було весело...",0
"водовідпірна, може пересуватися центром Львова в обливаний понеділок",0
в мене тарілка була більша)))),0
приїжай ;)),0
"мен також, пятіш",0
їсти хочу :с а їсти хоче менее,0
ну в нас хіба в старий льох))) і то після зливи)) минулого року провалилась яма перед хатою),0
успіхів :],0
"звучить як ""давайте займатись сексом"")",0
Тобі дуже личить :з,0
та неа посто послав б і все,3
"тю блін, тоді реально затупили....(",0
якщо туди-сюди я не намалюю)),0
го у вівторок у наше місце ;),0
це бурбалкі =))),0
"Йой,як то зранку буде тЄжко встати і до купи скластисі...добраніч,твіпли!",0
"""буде і на твоїй вулиці прошарена людина"" (с)",0
Замовила подвійну каву у і сьорбаю її вже півтори години.,0
"""Ми маємо наймогутнішу силу: нести чужий біль та не зламатися"".",0
"о, а ще ставлю собі правило: до кінця кожного місяця вироблятиму собі правильну звичку. до кінця січня маю привчити себе пити багато води.",0
"Інтеграція російською: 6 Росія (одна азіатка з Мск), 3 Україна (1 виросла в Угорщині), 2 Чечня, 2 Грузія (чоловік вірменин), 1 Таджикістан.",0
"На чому грають, даруйте?",0
Добраніч усім! Завтра робочий міні-тиждень )),0
спека почалася....а ви все ще спите під ковдрою? =),0
"Сказала, шо може мені в телеграмі написати і він втік :D",0
"Пам'ятати минуле потрібно, але ні в якому разі жити ним.",0
Кальмари на грилі з сиром під біле вино - дуже рекомендую.,0
"ото найкраще, кидай нас всіх і йди спатуняти))) баю-бай",0
"Слухай, шоновна, ти шо ахуєль?",1
"Але дякую, ти в мене авторитет по фешону",0
"ну я б скоріше сказав школота. та я теж вже забив, їх на довго не вистачає (особливо, якщо ввічливо спілкуватися) — скочуються в УГ",3
"в професійних контекстах - благословляю) а так бажано замінити на ""місцевий"". ""область"", ""земля"".. принаймні до зміни влади (:",0
От він саме в мене ні на яку дату конкретну не запланований. Тому може і не вийти таки )),0
Львів),0
Якщо гроші залишаться )),0
"хунто,не забувайте знімати младєнцєв з хрестів після розп'яття, вони ж ваняють! про міжособистісні стосунки 4групи політологів",5
Хотіла нині купити і вже щось робити,0
"шкідливі для здоров'я на цей момент, але дуже смачні;)",0
"Побуду диванним експертом. Ніхуя біженці не бідосі. Ні працювати, ні вчитися. Лиш на шиї держави сидіти.",2
почитала опис щойно - це супер!,0
Шо там по заангажованості художників в політику?,0
"Нє, от якраз ялинки в сенсі прикрашені дерева, а не дитячі новорічні заходи, мені дуже подобаються! =) До травня буде стояти8)))",0
Внєзапно прокинулася,0
"Познайомилася зі словаком сьогодні, я розуміла половину того, що він каже, а він - ні.",0
вже пад'їжжаєм),0
"Моя тітка з Коломиї випадково штовхнула в метро дівчинку, вибачилась по інерції українською, і лише потім російською =)",0
"я не знаю((( хоча я пам'ятаю, як ти одягалась вся в чорне!",0
"Нафоловила нових людей. А тоді дивлюсь на свій, чи взагалі достойна я, щоб мене фоловили",0
"Словник мудацьких виразів: ""ти асексуалка"" - ти не можеш мене задовільнити, бо нормальна жінка хоче 24/7, а ще ти страшна і мені вже не цікава. ""ти ненаситна"" - я не можу тебе нормально трахнути, бо мене ледве вистачає на 2 хв, а для всього іншого я надто лінивий.",0
"Добре, шо його в тві немає)",0
"І спеціально для мене знайшла напис українською, а не російською :3",0
нiчо про нокiї не знаю. Але на попереднiх самсунгу та сонi ерiксонi можна було почитати пошту. В мене теж немає iPhone i не хочу.,0
"щось ніякого фільму собі не обрала з тих, що ви радили. найкращими були Зоряні війни",0
думаю шо взагалі мужиком бути добре. а потім згадую ато. і думаю шо взагалі мужиком бути добре. аж занадто *пробачте,0
"А я чомусь на автоматі випішила, що Арсенал ) Тоді чекаю інфи",0
"ахах, а скільки йому років?) Ну, ром я точно беру. Вже виїхала",0
"Та да, пахне нехілим скандалом",0
"ладна, вони розійшлись. вдруге за сезон. серйозно?",0
"Здається, я собі простудила вухо своїм пірнанням Звертатися до лікаря по страховці чи почекати поки додому приїду в Пн.?",0
"що завгодно, але не правописні війни..",0
А зараз коли видають закордонний паспорт завжди пишуть h а не g? Чи можна вмовити?))),0
Чому в добі не 30 годин?,0
"От якби ти мені їх скидцвала,то всьо б ти мала",0
"на руці не проблемний і невеликий. Але щороку бісить одним і тим самим людям сотий раз казати ""а що це а що це"".",3
успіхів) а мама вже прийшла?,0
погоджуюсь!:),0
"Що ж, треба більше заробляти. Єдиний варіант в цей чудовий час. Прорвемось",0
хто от купує ці малесенькі баночки? Там і 4 штуки таких мало буде!,0
де ти попуск вбачила),0
Мені не твіт не подобається.,0
вже вдруге в Трускавці :) дякуємо дуже вері за чудове привітання/побажання!,0
"Охуєнні прийомні години в однієї викладачки: 16-16:30, 9.45-10.10. Стільки працює, не надривається бідна.",0
шкодую шо не попросила Ірину зняти на відео як ми з Нікою анбоксили стілець і стіл. анбоксили всмислі Ніка тримала а я розхитувала й витягувала дошки разом з гвіздками.,0
Ти ще нікого на роботі не вбила?),0
Прокидатись під звук дощу дуже приємно:),0
"Ооо, це ми гуглу і самі можемо розказати",5
(СПАУ це СДВГ українською -- синдром порушення активності й уваги),0
вже не можудо чекатись кабачків по 10грн,0
"та чого, я ось за Олівію Колман залюбки повболіваю",0
лягай спати,0
". тільки прохання не заклик до відміни безвізу. депутатам та журналістам-грантоїд однаково, а народу ні",3
"я якраз вільна,ти де саме?",0
з такої оповіддю нічого й фантазувати)),0
"Тю, приємно мати премію. Не було грошей, а вже є.",0
"А от чому, блять, я можу? А дехто ні? Я ж ні на Бетмена, ні на Супермена не схожий..",0
"? Ні, не чули.",0
"Звикла до тріскоту вогню, шуму дощу через листя, збирати сливки, до хвиль, які захлюпують через борт",0
а я вам обом за вечірні посиденьки за кавочаєм))),0
", я хотів ""Сілєбки"" писати :D",0
"клас, якраз шукала щось новеньке німецькомовне.",0
я ось на святах стараюсь не зайобувати людей політотою,0
"кались, хто з твіплів тебе ґвалтував :D",1
"8)) Та зрозуміло що одного з ригами поля ягідка, але ж 2 місце це вам не абищо, знати фєню тут недостатньо, треба атлічиться..))",3
1982 року народження,0
і не кажи. І чим ті одружен чоловіки такі привабливі? Ну що мухи на мед:),0
"От зараз весь твіттер подумає, що я якийсь фетишист-зоофіл",0
"не мржна в одному твіті писати ""адекватний"" і ""фреймут"")",0
"я і на волосся, і в рот пробувала))",0
Уйшла на обід з письменниками. Дунула.,0
тізер був кращим),0
перепрошую *розмовляю **мене можна хаяти за суржик єслішо,0
охтийопт. щойно на мене з-під слухавки лилась якато липка солодка розмовна суміш. піду-но я в душ.,0
"не спи в обід в тіні чи коли пасмурно, бо згориш) якщо згориш, купи у місцевій лавці мазь з алое. З місцевими можна торгуватися.",0
"А у нас не війна, у нас ""антітєрарєстічєская апєрация"". Щоб вони всі здохли...Видно, що це все сплановано заздалегідь..",3
"шось так різко захотілося смарагдово-зелену футболку з чорним гербом слізерину, я прям маю картинку перед очима, тепер буду мучатися тижні два, дякую моя чудова уява.",0
Чойта на Цоя мене пробило на ніч глядячи,0
"Порада дня: якщо вас кинула дівчина, киньте себе ще сильніше, щоб вона заздрила.",0
"А завтра все ж йду на презентацію книжки про Аду Роговцеву. Дуже парюсь, коли так співпадає все. Дивно це.",0
"Десь там, по мені плаче палата в психіатричній лікарні...",0
"навіть я можу, і це не сідаючи за піа-піа по року))вас розводять))",0
"Це просто психологічна травма з часів, коли ОМ робив контрольний постріл: ""Яка ідея твору?"" – а я навідріз не розуміла, чого в мене хочуть.",0
"приємного перегляду, вболіваємо за наших!!! Результативної гри Збірній!!! =)",0
"А найцікавіше те, що у мене ніколи не було навіть сонцезахисних)",0
без тебе стерті смс,0
"а ти не знала, хто це?)",0
"Тато теж його так назвав, коли я принесла його додому :D",0
"У них купа всього, трохи однакового, але все одно крутого і веселого",0
"я би познайомилася, і зробила висновок) але якщо з самого початку тобі не цікаво, тоді й не варто.",0
Гігієна включила музичку і шкребеш. А бхьв мене йшло години 3-4,0
але мене потім знайдуть в одному зі смітників Тернополя в кількох кульках,0
"Взагалі я люблю зустрічі з клієнтами. Стоїш, кажеш розумні і довгі слова, а менеджери зачаровано на тебе дивляться. Але ж не о 9-й ранку!!!",0
. я як лідер виборчої гонки заявляю - так і зробимо!,0
ну я тебе поняла значить треба шоб до здатності читати думки в комплекті йшла здатність щоб ці хвилі поширювались на великі відстані і звязок не тєрявся,0
хочете бачити ноги в стрічні - кладіть всі сайти які бачите!,0
напхалась полуниць. з шампанським. мені можна.,0
"перекладіть на гуманітарну, плєз",0
"Наче кращає, але якось повільно. ""що з вами - неясно, дочекаємось результатів біохімії, супчики їсти дозволяєм, приходьте в понеділок""",0
"не знаю, що там і де купа людей, на Подолі повний лаунж, хіба гуляючі є",0
"- я вирішила перейти до рішучих дій, я навіть подивилася відео, як зваблювати хлопців. (с)",0
"Сиджу в салоні. По тв СТБ показ УМТ. То капець: співають рос романс, його вибрали. І це Україна має талант???",3
що б і де б не написав в'ятрович - в коментарі обов'язково прийдуть качати свої права поляки,2
просто ми тож хвилюємось. Але все буде добре.,0
"Дорогі твіттерські, які бачили мої фото тоже так думають.",0
"Ну, я тут виключно фільми порівнюю :) А Шантарам ніяк не примушу себе прочитати Уже роки 3",0
"Саме так. Поки закупишся подарунками, напоями, харчами, прибереш усю хату, прикрасиш ялинку, продумаєш святкову програму...",0
"Та хто завгодно може просто глянути у вічі й відразу зрозуміти, що то його, тому ні власні переконання, ні досвід не гратимуть ролі, бо от просто зачепило",0
"огО, оце ти рубанула правду-матку, йой, Плотін нервово палить у труні",0
"А може я хочу уявити себе леді на рицарському турніру? А взагалі, крім тебе, його ніхто не буде розгадувати)",0
"насправді у багатьох, мабуть :) люблю такі вітражі та мозаїки",0
"""Аграрії виростили тризуб із чорного рису, який можна побачити з космосу""",0
"Але це Захід, мацьонька. Ти його ніколи не розумітимеш до кінця.",1
умная мисля приходить опосля... і знов правити...,0
"з якою з них, шанопані?",0
І викликати поліцію))))))))),0
"БО ЦЕ, БЛІН, ВАЖЛИВО ДЛЯ НАС!",0
"Вписати ""безоплатно"", а бабло насправді брати? =)",0
якраз з-під одіялка я не можу вилізти.. ааа што ти надєлал?,0
"захоплююсь тими людьми,у яких мінімум речей,щоб найнеобхідніше можна було скласти в наплічник,а все інше,залишити позаду без жалю © малеча",0
"Щось таємничо красиве є в тому, що всю неймовірність зоряного неба неможливо передати в фотографії.",0
"як матиму час, обов'язково)",0
ми домовились)),0
5 градусів... ахуєть краще б я все-таки в теплій постєльці не проснулась,0
"Світло,ну куди ж ти,як же я тепер книжечку читатиму((",0
"""Пасибки"" - від цього слова погано стає! Ніколи мені його не пишіть і не кажіть!",0
"Та тооообто, не змушувати ж дитину ходити на те, що вона не хоче і навпаки",0
"та нічого, всяке буває)))",0
"а на моє питання до тата, чому він раніше мені цього не розповідав, була геніальна відповідь — а ти не питала)))",0
в захваті від його голосу),0
"ето харашо, шо дізайн-патріарх одобряє)",0
"Я не постила, але багато разів таке було через тебе",0
"сказав, як Томас Пейн",0
"ти мене не злиш а засмучуєш.... розумні люди -- це розумні люди, а ти -- це ти... я мабуть якось по-іншому це бачу",1
"так це про самопочуття на ранок після того, як ти вже напився",0
госпаді нашо так багато?!,0
"Вчитель, який злиться, побачивши, що учень його перевершив - поганий вчитель.",0
"а що у вас мало місця?ґи))) в raw то якщо є бажання сидіти над редагуванням фоткок днями, інакше немає потреби",0
чудові новини) вітання!,0
ну я можу дати їхні адреси і сам провіриш :з,0
один з рецептів:),0
"Вчорашній коньяк дається чути, взагалі мозок не працює",0
"Люблю ніч за чудові ідеї. От сказала геніальну вєщь. Пити шось горюче щоразу, як у Джанго звучатиме слово *нігер* Генітально!",2
"Хочеться щоб Павич на хвильку полишив свою дурацьку барочність і сказав мені кілька простих теплих слів. Але це лиш хвилинна слабкість — якби я справді цього хотіла, почитала б когось іншого.",1
"а я пам'ятаю чізбургери по 5,50",0
вже скрізь продають,0
"та блін, 50 євро на дорозі не валяються...фіг його знає, з яким настроєм вони там будуть",0
ггг дівчата))) вєсєлітє,0
тепер у саопомочі нова методичка: помста садовому через блокаду сміття - недопуск я вшоці так накрутили,1
Трошки вирішила помріяти.,0
"ввечері точно скажу, бо є маленька проблемка ((",0
"йой нє, ми ж не напрошувались.. у нас генеральне прибирання після ремонту в кімнаті, ще трохи й хата буде гостювабельна, запросимо на старо-ново-сілля))",0
"рада була усіх бачити, особливо ополяченого )))",0
"або в ЧНУ, або в якийсь зачотний економічний універ.",0
аби не черкаські кліщі :),0
"Не сперечаюсь. =)Якщо подобається, користуйтесь на здоров'я! ;) А на мій смак, є і більш зручні, і з більш стильним дизайном.",0
"Є стосунки по любові, є стосунки по розрахунку, а в мене стосунки, щоб було з ким випити.",0
ігрухи ж,0
"лашатка зовсім поганим став, заговорюватися почав :<",1
"для людини, що навмисне намагається псувати репутацію гг. мо через рік - два буде на роботу вже до вас проситися.",1
Рівень Петросян,0
"доречі нерухомість там має кінські цінники, як купити, так і орендувати.",0
"Тримайся й ти. Колись же все мусить бути добре. Можливо, не те ""добре"", яке ми собі хочемо, але хоч якось...",0
"Уря!бандерольку отримали у Вірджинії!тепер задача:бандеролька Київ-Вірджинія Біч -12 дн,лист Київ-Бровари - 6 дн.Яка відстань між містами?))",0
ааааааа!!!!!!! Вітаю вас!!!!,0
"тільки там і ніде інакше)))тут добре, але я тут не хочу залишатися навіть після універу)",0
"Розумна жінка поганого не порадить RT "": ну, можна відкладати алкоголь на чорний день)""",0
"Перша думка: ""Коли це росія встигла почати воювати в Туреччині!?"" і тільки потім дійшло, що туристи вжито без лапок",0
шукай корисна річ,0
"ти ж розумієш, що я не буду вести чатік у його чистому вигляді?) *звісно, я ж не Любка*",0
. а коли він про неї не згадує?,0
"Нічо, в мене пєнсія буде. Надєюсь з цим не наїбуть, як з тим, що на пільгове місце візьмуть.",0
"хай шукає, ще є час))",0
", ""Численні Катерини"" Гріна",0
головне - таке французьке Ррррр,0
"а ще бачила нині у метро хлопчика дуже схожого на Тома Холланда. і, блін, не розумію, чо' в громадському транспорті досі ше не придумали сервіс запаковування і унесення з собов симпатичних мущин.",0
"Ну всяке буває, якщо увліктись",0
Я просто їбу що сталось Колись в дєтствє напастой сидів в обговореннях і писав рифмою історію про Наруто хахах Уже нє тот,0
"гроші то є, а от того хто купить немає(мені ж не продадуть)",0
"В англійськїй мові є такий час, Future perfect in the past. От скажіть, його коли-небудь використовують, чи так само як алгебру?",0
Я про то шо ніфіга нема,0
"Ранок, наче, і добрий, але не дає спокою якесь відчуття ""недоброго"" ранку...",0
"Чує жопа пріключєнія. Йду по слідам. Гарної всім суботи, хоча ні, развратної всім суботи",0
Око ціле?,0
Стільки броварчан я давно не бачила - свято наближається))) хватаю фрукти і тікаю))),0
внутрішні невидимі блискавки.ще жива.ще з відчуттям.,0
"чую, брате, шо буде війна…",0
Brkng! Графство Курощіпістан оголосило про об'єднання з протекторатом Коливанія.,0
під 19% річних?,0
як в старі добрі часи...вже майже четверта,0
"ну є любов і є кохання. тут любов, в скнсі любові до веселих шкарпеток. просто чоловічих небуло)))",0
"пфф.... не можна ж так смішити, коли порядні люди чаї п’ють)))",0
"а зря,вони смачні)",0
Всі перехожі дивляться на мого слоника. Не дивіться! А то ще повилазить.,0
якп сумна новина :<,0
"Я тут сиджу Розбираюся з міфологією і психосоматикою І думаю, що може я таки не тєхнарь",0
і то хіба проблема конвертувати для людини зі смартфоном? : ),0
"газета The Express Магистраль рекомендує овнам утриматися від пліток. що ж, зціпив зуби, мовчу",0
"ти будеш хорошим батьком, угум.",0
заради тебе в цій релігії тіко со сметанкою:3,0
"Я більше не п'ю. Менше теж. (с) ""Поки ти спав""",0
ой дякую.....ще один))),0
"Божевільна, чистодумна, загадкова.",0
гарного перегляду),0
Тоді вже краще мило,0
Які там треба хештеги ставити?),0
"- Сказала людина, шо вибирала між батоном і кавою. - Сказала людина, шо 2 тижні їсть Мівіну. У нас з інтелектуальні суперечки.",0
НАВЧІТЬ ЧИТАТИ АМЕРИКАНЦІВ,0
Вот і всьо найшлося,0
"не бачу скнсу в цій дискусії, ви мене не чуєте",0
Часник чи цибуля? (маю на увазі зелень),0
а що ж планується? ;),0
Єєєєєє Потебня,0
"ціни вже підняли,це роблять заздалегіть щоб непомітно)",0
Єслі є бажання можна шо зоч зроьить),0
"Пройшло вже пару годин з моменту зустрічі, а мене далі впирає , ТИ АГНІЩЄ :3333",0
"Тому якшо праця фігня - то це фігня, от і все",0
"Не треба тут цеєво, я їх ще не бачив",0
"Я не можу пояснити, чого в Яна, який приїхав зі Львова, втричі менше речей, ніж у мене, яка приїхала з іншого району Києва.",0
Руснява хуєта. після сдачі Германії був Нюрнберг.,2
"місце - так, малюнок - не дуже",0
"Дивлячись яка, бо особисто я не люблю копчених",0
"пиздуй додому і одягни шапочку, бо застудишся. /а взагалі УТЮТЮТЮ МИЛОТА:з/",1
"тяжело, але я можу хоть глянути, ісказати, чи зможу допомогти чи ні",0
Шукаю глибокий символізм у назві пісні Fatboy's dust,0
"правильно. але як вибрати 'кращу' дрібничку, якщо ти любиш усі, бо разом вони і є та половинка? то можуть бути навіть неприємні дрібнички, а ти все одно любиш. це просто 'твоя' людина, а не 'всі'.",0
